FastSpeedChanges,17:14:38.6303232
(185, 0),17:14:44.7775232
(255, 1),17:14:45.2797696
(465, 0),17:14:45.7814656
(540, 1),17:14:46.2915200
(140, 0),17:14:46.7929728
(735, 1),17:14:47.2946176
(400, 0),17:14:47.7956224
(505, 1),17:14:48.2978944
(45, 0),17:14:48.7988736
(145, 1),17:14:49.3017088
(70, 0),17:14:49.8024192
(365, 1),17:14:50.3033728
(330, 0),17:14:50.8043520
(125, 1),17:14:51.3052672
(140, 0),17:14:51.8058624
(305, 1),17:14:52.3065600
(550, 0),17:14:52.8076032
(415, 1),17:14:53.3083136
(405, 0),17:14:53.8087168
(185, 1),17:14:54.3094016
(850, 0),17:14:54.8101760
(425, 1),17:14:55.3108992
(490, 0),17:14:55.8115968
(50, 1),17:14:56.3215616
(535, 0),17:14:56.8229888
(95, 1),17:14:57.3240960
(10, 0),17:14:57.8382592
(380, 1),17:14:58.3396352
(315, 0),17:14:58.8406784
(130, 1),17:14:59.3414528
(290, 0),17:14:59.8429824
(500, 1),17:15:00.3443072
(520, 0),17:15:00.8455808
(-275, 1),17:15:01.3468032
(185, 0),17:15:01.8481408
(-35, 1),17:15:02.3488896
(455, 0),17:15:02.8497152
(550, 1),17:15:03.3511040
(175, 0),17:15:03.8518912
(175, 1),17:15:04.3529088
(-170, 0),17:15:04.8538368
(375, 1),17:15:05.3552896
(225, 0),17:15:05.8571904
(240, 1),17:15:06.3688064
(315, 0),17:15:06.8702976
(475, 1),17:15:07.3713536
(235, 0),17:15:07.8733056
(225, 1),17:15:08.3743104
(260, 0),17:15:08.8749056
(700, 1),17:15:09.3760384
(420, 0),17:15:09.8773632
(230, 1),17:15:10.3789312
(70, 0),17:15:10.8802688
(330, 1),17:15:11.3811200
(550, 0),17:15:11.8819712
(-75, 1),17:15:12.3828608
(305, 0),17:15:12.8838656
(340, 1),17:15:13.3848064
(425, 0),17:15:13.8864768
(120, 1),17:15:14.3877504
(270, 0),17:15:14.8886912
(380, 1),17:15:15.3896576
(600, 0),17:15:15.8911744
(270, 1),17:15:16.3994880
(535, 0),17:15:16.9004416
(395, 1),17:15:17.4020736
(240, 0),17:15:17.9118464
(650, 1),17:15:18.4127232
(190, 0),17:15:18.9137664
(-170, 1),17:15:19.4155520
(455, 0),17:15:19.9174144
(610, 1),17:15:20.4184576
(155, 0),17:15:20.9193728
(10, 1),17:15:21.4205056
(310, 0),17:15:21.9215104
(440, 1),17:15:22.4220800
(425, 0),17:15:22.9228672
(200, 1),17:15:23.4244736
(255, 0),17:15:23.9259648
(555, 1),17:15:24.4272512
(515, 0),17:15:24.9282432
(530, 1),17:15:25.4292608
(525, 0),17:15:25.9302656
(215, 1),17:15:26.4449408
(440, 0),17:15:26.9459456
(135, 1),17:15:27.4467328
(75, 0),17:15:27.9482880
(240, 1),17:15:28.4490112
(360, 0),17:15:28.9500288
(210, 1),17:15:29.4518144
(85, 0),17:15:29.9535616
(160, 1),17:15:30.4542464
(315, 0),17:15:30.9553024
(545, 1),17:15:31.4570112
(335, 0),17:15:31.9587840
(-65, 1),17:15:32.4595072
(200, 0),17:15:32.9602176
(200, 1),17:15:33.4611584
