SpeedTextures,16:45:26.5194112
{Id=3, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=83, numDots2=83, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:26.5630592
{Id=1, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-23.3, VelYLeft=0, CohLeft=100, VelXRight=-23.3, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:29.9315584
{Id=7, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:32.9473664
{Id=5, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:35.9580672
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:38.9802240
{Id=2, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=144, numDots2=144, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:41.9972864
{Id=7, Duration=2, Size=10, Colour1=0, Colour2=1, numDots1=0, numDots2=0, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:45.0129408
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:48.0320256
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:51.0466432
{Id=5, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-368.8, VelYLeft=0, CohLeft=100, VelXRight=-368.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:54.0640384
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:45:57.0803584
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.5, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:46:00.0956160
{Id=3, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-92.6, VelYLeft=0, CohLeft=100, VelXRight=-92.6, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:46:03.1118592
{Id=2, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=578, numDots2=578, dotLifeBool=0, dotLifetime=20, Contrast=1, VelXLeft=-46.4, VelYLeft=0, CohLeft=100, VelXRight=-46.4, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:46:06.1306368
{Id=0, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=0, VelYLeft=0, CohLeft=100, VelXRight=0, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:46:09.1468928
{Id=4, Duration=2, Size=5, Colour1=0, Colour2=1, numDots1=330, numDots2=330, dotLifeBool=0, dotLifetime=20, Contrast=0.25, VelXLeft=-184.8, VelYLeft=0, CohLeft=100, VelXRight=-184.8, VelYRight=0, CohRight=100, transXL=-100, transXR=100},16:46:12.1646208
